# ----------------------------------------
# 1 Master View
# Обзор аудитории
# 20190427-20190503
# ----------------------------------------

Индекс часа,Диапазон дат,Сегмент,Просмотры страниц
000067,27.04.2019 - 03.05.2019,Новые пользователи,276
000068,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,111
000068,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,46
000068,27.04.2019 - 03.05.2019,Новые пользователи,235
000069,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,71
000069,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000069,27.04.2019 - 03.05.2019,Новые пользователи,194
000070,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,81
000070,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000070,27.04.2019 - 03.05.2019,Новые пользователи,100
000071,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,55
000071,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,6
000071,27.04.2019 - 03.05.2019,Новые пользователи,265
000072,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,73
000072,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,9
000072,27.04.2019 - 03.05.2019,Новые пользователи,168
000073,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,51
000073,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000073,27.04.2019 - 03.05.2019,Новые пользователи,154
000074,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,21
000074,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000074,27.04.2019 - 03.05.2019,Новые пользователи,126
000075,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,62
000075,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000075,27.04.2019 - 03.05.2019,Новые пользователи,164
000076,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,72
000076,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000076,27.04.2019 - 03.05.2019,Новые пользователи,170
000077,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,61
000077,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,3
000077,27.04.2019 - 03.05.2019,Новые пользователи,219
000078,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,57
000078,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,13
000078,27.04.2019 - 03.05.2019,Новые пользователи,286
000079,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,111
000079,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,11
000079,27.04.2019 - 03.05.2019,Новые пользователи,351
000080,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,64
000080,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,30
000080,27.04.2019 - 03.05.2019,Новые пользователи,316
000081,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,61
000081,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,0
000081,27.04.2019 - 03.05.2019,Новые пользователи,388
000082,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,96
000082,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,2
000082,27.04.2019 - 03.05.2019,Новые пользователи,440
000083,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,85
000083,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,17
000083,27.04.2019 - 03.05.2019,Новые пользователи,411
000084,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,129
000084,27.04.2019 - 03.05.2019,Трафик с планшетных ПК,4
000084,27.04.2019 - 03.05.2019,Новые пользователи,414
000085,27.04.2019 - 03.05.2019,Трафик с мобильных устройств,66
